account;category;currency;amount;ref_currency_amount;type;payment_type;payment_type_local;note;date;gps_latitude;gps_longitude;gps_accuracy_in_meters;warranty_in_month;transfer;payee;labels;envelope_id;custom_category
Revolut;Clothes & shoes;BGN;-33.06;-33.06;Expenses;DEBIT_CARD;Debit card;;2020-06-02 11:00:37;;;;0;false;;;2000;false
Raiffeisenbank;Vape;BGN;-58.00;-58.00;Expenses;DEBIT_CARD;Debit card;;2020-06-02 10:00:36;;;;0;false;;;6011;true
Revolut;Groceries;BGN;-21.14;-21.14;Expenses;DEBIT_CARD;Debit card;;2020-06-01 21:00:32;;;;0;false;;;1000;false
Cash;Restaurant, fast-food;BGN;-20.00;-20.00;Expenses;CASH;Cash;;2020-05-31 22:00:41;;;;0;false;;;1001;false
Cash;Groceries;BGN;-1.00;-1.00;Expenses;CASH;Cash;;2020-05-31 18:32:29;;;;0;false;;;1000;false
Raiffeisenbank;Groceries;BGN;-29.57;-29.57;Expenses;DEBIT_CARD;Debit card;;2020-05-31 18:30:36;;;;0;false;;;1000;false
Raiffeisenbank;TRANSFER;BGN;-200.00;-200.00;Expenses;DEBIT_CARD;Debit card;;2020-05-31 18:28:48;;;;0;true;;;20001;false
Revolut;TRANSFER;BGN;200.00;200.00;Income;DEBIT_CARD;Debit card;;2020-05-31 18:28:48;;;;0;true;;;20001;false
Revolut;Groceries;BGN;-12.73;-12.73;Expenses;DEBIT_CARD;Debit card;;2020-05-30 22:00:56;;;;0;false;;;1000;false
Cash;TRANSFER;BGN;-5.00;-5.00;Expenses;CASH;Cash;;2020-05-30 17:00:41;;;;0;true;;;20001;false
Revolut;TRANSFER;BGN;5.00;5.00;Income;CASH;Cash;;2020-05-30 17:00:41;;;;0;true;;;20001;false
Revolut;Restaurant, fast-food;BGN;-5.80;-5.80;Expenses;DEBIT_CARD;Debit card;;2020-05-30 15:40:58;;;;0;false;;;1001;false
Revolut;Vape;BGN;-14.90;-14.90;Expenses;DEBIT_CARD;Debit card;;2020-05-30 15:30:09;;;;0;false;;;6011;true
Revolut;Groceries;BGN;-4.48;-4.48;Expenses;DEBIT_CARD;Debit card;;2020-05-30 12:59:00;;;;0;false;;;1000;false
Revolut;GF;BGN;-5.05;-5.05;Expenses;DEBIT_CARD;Debit card;Еконт връщане на халат;2020-05-29 16:30:28;;;;0;false;;;2007;true
Raiffeisenbank;Charges, Fees;BGN;-2.90;-2.90;Expenses;DEBIT_CARD;Debit card;Montly Fee Bank;2020-05-29 15:30:00;;;;0;false;;;8005;false
Raiffeisenbank;Salary, income;BGN;2963.49;2963.49;Income;DEBIT_CARD;Debit card;;2020-05-29 15:00:00;;;;0;false;;;10000;true
Cash;Groceries;BGN;-6.50;-6.50;Expenses;CASH;Cash;;2020-05-28 12:00:11;;;;0;false;;;1000;false
Cash;Health care, doctor;BGN;-3.00;-3.00;Expenses;CASH;Cash;Лазарова;2020-05-28 11:00:48;;;;0;false;;;6000;false
Cash;Health care, doctor;BGN;-20.00;-20.00;Expenses;CASH;Cash;Лекарства;2020-05-28 11:00:02;;;;0;false;;;6000;false
Revolut;Restaurant, fast-food;BGN;-7.00;-7.00;Expenses;DEBIT_CARD;Debit card;Макфлъри;2020-05-27 21:45:12;;;;0;false;;;1001;false
Revolut;Vape;BGN;-16.49;-16.49;Expenses;DEBIT_CARD;Debit card;Clapton wire;2020-05-27 10:00:14;;;;0;false;;;6011;true
Revolut;Groceries;BGN;-15.44;-15.44;Expenses;DEBIT_CARD;Debit card;;2020-05-27 09:30:04;;;;0;false;;;1000;false
Revolut;GF;BGN;-8.21;-8.21;Expenses;DEBIT_CARD;Debit card;Aliexpress;2020-05-26 23:30:27;;;;0;false;;;2007;true
Revolut;Groceries;BGN;-22.52;-22.52;Expenses;DEBIT_CARD;Debit card;;2020-05-26 21:00:35;;;;0;false;;;1000;false
Revolut;Groceries;BGN;-26.94;-26.94;Expenses;DEBIT_CARD;Debit card;;2020-05-25 16:30:11;;;;0;false;;;1000;false
Revolut;Vape;BGN;-17.00;-17.00;Expenses;DEBIT_CARD;Debit card;Mtl wire;2020-05-25 15:30:35;;;;0;false;;;6011;true
Revolut;Internet;BGN;-31.94;-31.94;Expenses;DEBIT_CARD;Debit card;А1;2020-05-25 15:00:38;;;;0;false;;;7002;false
Raiffeisenbank;TRANSFER;BGN;-200.00;-200.00;Expenses;DEBIT_CARD;Debit card;;2020-05-25 14:30:39;;;;0;true;;;20001;false
Revolut;TRANSFER;BGN;200.00;200.00;Income;DEBIT_CARD;Debit card;;2020-05-25 14:30:39;;;;0;true;;;20001;false
Cash;GF;BGN;-40.00;-40.00;Expenses;CASH;Cash;;2020-05-25 14:00:33;;;;0;false;;;2007;true
Cash;Restaurant, fast-food;BGN;-5.00;-5.00;Expenses;CASH;Cash;Ядки;2020-05-25 14:00:00;;;;0;false;;;1001;false
Cash;TRANSFER;BGN;200.00;200.00;Income;DEBIT_CARD;Debit card;;2020-05-25 13:30:04;;;;0;true;;;20001;false
Revolut;TRANSFER;BGN;-200.00;-200.00;Expenses;DEBIT_CARD;Debit card;;2020-05-25 13:30:04;;;;0;true;;;20001;false
Revolut;Vape;BGN;-38.47;-38.47;Expenses;DEBIT_CARD;Debit card;Intake rta dual;2020-05-24 23:28:53;;;;0;false;;;6011;true
Raiffeisenbank;TRANSFER;BGN;-200.00;-200.00;Expenses;CASH;Cash;;2020-05-24 23:16:08;;;;0;true;;;20001;false
Revolut;TRANSFER;BGN;200.00;200.00;Income;CASH;Cash;;2020-05-24 23:16:08;;;;0;true;;;20001;false
Revolut;Groceries;BGN;-5.81;-5.81;Expenses;DEBIT_CARD;Debit card;;2020-05-24 19:30:19;;;;0;false;;;1000;false
Cash;Restaurant, fast-food;BGN;-6.00;-6.00;Expenses;CASH;Cash;;2020-05-24 14:00:29;;;;0;false;;;1001;false
Revolut;Groceries;BGN;-18.81;-18.81;Expenses;DEBIT_CARD;Debit card;;2020-05-23 21:00:19;;;;0;false;;;1000;false
Revolut;Fuel;BGN;-18.53;-18.53;Expenses;DEBIT_CARD;Debit card;;2020-05-23 15:44:52;;;;0;false;;;5000;false
Cash;Restaurant, fast-food;BGN;-6.00;-6.00;Expenses;CASH;Cash;Закуски;2020-05-23 07:30:34;;;;0;false;;;1001;false
Revolut;Groceries;BGN;-21.37;-21.37;Expenses;DEBIT_CARD;Debit card;;2020-05-22 19:00:33;;;;0;false;;;1000;false
Raiffeisenbank;Energy, utilities;BGN;-78.70;-78.70;Expenses;DEBIT_CARD;Debit card;Ток;2020-05-22 03:28:25;;;;0;false;;;3002;false
Revolut;Groceries;BGN;-9.19;-9.19;Expenses;DEBIT_CARD;Debit card;;2020-05-21 21:00:24;;;;0;false;;;1000;false
Revolut;GF;BGN;-27.39;-27.39;Expenses;DEBIT_CARD;Debit card;Халат;2020-05-21 10:00:26;;;;0;false;;;2007;true
Revolut;Vape;BGN;-62.98;-62.98;Expenses;DEBIT_CARD;Debit card;;2020-05-21 10:00:05;;;;0;false;;;6011;true
Raiffeisenbank;Energy, utilities;BGN;-22.48;-22.48;Expenses;DEBIT_CARD;Debit card;Вода;2020-05-20 12:00:41;;;;0;false;;;3002;false
Revolut;GF;BGN;-40.00;-40.00;Expenses;DEBIT_CARD;Debit card;;2020-05-20 12:00:22;;;;0;false;;;2007;true
Cash;Groceries;BGN;-30.00;-30.00;Expenses;CASH;Cash;;2020-05-19 18:00:23;;;;0;false;;;1000;false
Raiffeisenbank;Groceries;BGN;-180.49;-180.49;Expenses;DEBIT_CARD;Debit card;;2020-05-17 19:00:49;;;;0;false;;;1000;false
Raiffeisenbank;Fuel;BGN;-101.89;-101.89;Expenses;DEBIT_CARD;Debit card;;2020-05-17 17:45:50;;;;0;false;;;5000;false
Raiffeisenbank;Fuel;BGN;-49.99;-49.99;Expenses;DEBIT_CARD;Debit card;;2020-05-17 17:45:50;;;;0;false;;;5000;false
Revolut;Clothes & shoes;BGN;29.00;29.00;Income;DEBIT_CARD;Debit card;;2020-05-16 21:30:58;;;;0;false;;;2000;false
Revolut;Clothes & shoes;BGN;-178.02;-178.02;Expenses;DEBIT_CARD;Debit card;;2020-05-16 11:30:40;;;;0;false;;;2000;false
Revolut;Groceries;BGN;-4.35;-4.35;Expenses;DEBIT_CARD;Debit card;;2020-05-16 11:30:15;;;;0;false;;;1000;false
Raiffeisenbank;TRANSFER;BGN;-200.00;-200.00;Expenses;DEBIT_CARD;Debit card;;2020-05-16 11:20:15;;;;0;true;;;20001;false
Revolut;TRANSFER;BGN;200.00;200.00;Income;DEBIT_CARD;Debit card;;2020-05-16 11:20:15;;;;0;true;;;20001;false
Raiffeisenbank;TRANSFER;BGN;-200.00;-200.00;Expenses;DEBIT_CARD;Debit card;;2020-05-15 16:29:52;;;;0;true;;;20001;false
Revolut;TRANSFER;BGN;200.00;200.00;Income;DEBIT_CARD;Debit card;;2020-05-15 16:29:52;;;;0;true;;;20001;false
Revolut;Vape;BGN;-70.46;-70.46;Expenses;DEBIT_CARD;Debit card;Topside Lite;2020-05-15 16:29:31;;;;0;false;;;6011;true
Cash;Services;BGN;-15.00;-15.00;Expenses;DEBIT_CARD;Debit card;Входни такси;2020-05-14 12:00:30;;;;0;false;;;3003;false
Revolut;Shopping;BGN;-36.30;-36.30;Expenses;DEBIT_CARD;Debit card;Декатлон сгъваема маса;2020-05-14 10:30:24;;;;0;false;;;2010;false
Revolut;Groceries;BGN;-6.45;-6.45;Expenses;DEBIT_CARD;Debit card;;2020-05-12 21:00:13;;;;0;false;;;1000;false
Revolut;Groceries;BGN;-29.26;-29.26;Expenses;DEBIT_CARD;Debit card;;2020-05-12 21:00:08;;;;0;false;;;1000;false
Cash;Alcohol, tobacco;BGN;-6.00;-6.00;Expenses;CASH;Cash;;2020-05-12 12:44:19;;;;0;false;;;6011;false
Revolut;Vape;BGN;-38.16;-38.16;Expenses;DEBIT_CARD;Debit card;Destiny RTA;2020-05-11 20:00:26;;;;0;false;;;6011;true
Revolut;Groceries;BGN;-23.04;-23.04;Expenses;DEBIT_CARD;Debit card;;2020-05-11 19:30:28;;;;0;false;;;1000;false
Raiffeisenbank;TRANSFER;BGN;-200.00;-200.00;Expenses;DEBIT_CARD;Debit card;;2020-05-11 19:12:37;;;;0;true;;;20001;false
Revolut;TRANSFER;BGN;200.00;200.00;Income;DEBIT_CARD;Debit card;;2020-05-11 19:12:37;;;;0;true;;;20001;false
Revolut;Groceries;BGN;-18.53;-18.53;Expenses;DEBIT_CARD;Debit card;;2020-05-11 11:30:57;;;;0;false;;;1000;false
Cash;GF;BGN;-5.00;-5.00;Expenses;CASH;Cash;;2020-05-11 11:30:35;;;;0;false;;;2007;true
Cash;Health care, doctor;BGN;-9.00;-9.00;Expenses;CASH;Cash;Лепенки кокоши трън;2020-05-11 11:30:35;;;;0;false;;;6000;false
Cash;Groceries;BGN;-2.00;-2.00;Expenses;CASH;Cash;;2020-05-11 11:30:19;;;;0;false;;;1000;false
Revolut;Groceries;BGN;-11.29;-11.29;Expenses;DEBIT_CARD;Debit card;;2020-05-10 15:00:46;;;;0;false;;;1000;false
Raiffeisenbank;Groceries;BGN;-48.71;-48.71;Expenses;DEBIT_CARD;Debit card;;2020-05-10 15:00:38;;;;0;false;;;1000;false
Revolut;Shopping;BGN;-24.78;-24.78;Expenses;DEBIT_CARD;Debit card;Aliexpress;2020-05-10 12:00:18;;;;0;false;;;2010;false
Cash;Restaurant, fast-food;BGN;-4.00;-4.00;Expenses;CASH;Cash;Закуски;2020-05-07 15:51:21;;;;0;false;;;1001;false
Revolut;Software, apps, games;BGN;-9.77;-9.77;Expenses;DEBIT_CARD;Debit card;Spotify;2020-05-07 14:00:00;;;;0;false;;;7003;false
Revolut;Transportation;BGN;-6.09;-6.09;Expenses;DEBIT_CARD;Debit card;Spark;2020-05-07 10:20:46;;;;0;false;;;4004;false
Revolut;Restaurant, fast-food;BGN;-12.48;-12.48;Expenses;DEBIT_CARD;Debit card;;2020-05-07 10:00:01;;;;0;false;;;1001;false
Revolut;Restaurant, fast-food;BGN;-9.72;-9.72;Expenses;DEBIT_CARD;Debit card;;2020-05-07 07:30:01;;;;0;false;;;1001;false
Revolut;Transportation;BGN;-7.41;-7.41;Expenses;DEBIT_CARD;Debit card;Spark;2020-05-07 06:30:46;;;;0;false;;;4004;false
Revolut;Groceries;BGN;-4.93;-4.93;Expenses;DEBIT_CARD;Debit card;;2020-05-06 19:30:11;;;;0;false;;;1000;false
Revolut;Groceries;BGN;-16.48;-16.48;Expenses;DEBIT_CARD;Debit card;;2020-05-06 16:45:06;;;;0;false;;;1000;false
Revolut;Groceries;BGN;-19.69;-19.69;Expenses;DEBIT_CARD;Debit card;;2020-05-06 14:00:40;;;;0;false;;;1000;false
Revolut;GF;BGN;-4.14;-4.14;Expenses;DEBIT_CARD;Debit card;Ключодържател алиекспрес;2020-05-05 23:30:17;;;;0;false;;;2007;true
Raiffeisenbank;Groceries;BGN;-67.63;-67.63;Expenses;DEBIT_CARD;Debit card;;2020-05-05 20:45:41;;;;0;false;;;1000;false
Revolut;Vape;BGN;-6.27;-6.27;Expenses;DEBIT_CARD;Debit card;Atomizer stand;2020-05-05 19:45:05;;;;0;false;;;6011;true
Revolut;Vape;BGN;-6.27;-6.27;Expenses;DEBIT_CARD;Debit card;Atomizer stand;2020-05-05 19:45:05;;;;0;false;;;6011;true
Cash;Restaurant, fast-food;BGN;-5.00;-5.00;Expenses;CASH;Cash;Закуски;2020-05-05 19:14:06;;;;0;false;;;1001;false
Raiffeisenbank;Groceries;BGN;-87.53;-87.53;Expenses;DEBIT_CARD;Debit card;;2020-05-05 13:00:38;;;;0;false;;;1000;false
Revolut;Groceries;BGN;-30.43;-30.43;Expenses;DEBIT_CARD;Debit card;;2020-05-03 19:30:34;;;;0;false;;;1000;false
Cash;Rent;BGN;-400.00;-400.00;Expenses;CASH;Cash;;2020-05-03 19:00:48;;;;0;false;;;3000;false
Cash;Others;BGN;-140.00;-140.00;Expenses;DEBIT_CARD;Debit card;Татко;2020-05-03 16:00:58;;;;0;false;;;11000;false
Revolut;Phone, cell phone;BGN;-20.99;-20.99;Expenses;DEBIT_CARD;Debit card;Теленор;2020-05-03 15:40:27;;;;0;false;;;7001;false
Raiffeisenbank;Electronics, accessories;BGN;-131.80;-131.80;Expenses;DEBIT_CARD;Debit card;Телевизор - Кредит;2020-05-03 12:30:00;;;;0;false;;;2006;false
